substance_1,substance_2,x_1,x_2,T,gamma_1,gamma_2
methyl laurate,octane,0,1,398.839,0.102989708,0.000000000
methyl laurate,octane,0.01,0.99,399.213,0.098514133,0.000020000
methyl laurate,octane,0.02,0.98,399.59,0.094218675,0.000079997
methyl laurate,octane,0.03,0.97,399.971,0.090096613,0.000179984
methyl laurate,octane,0.04,0.96,400.355,0.086131824,0.000319949
methyl laurate,octane,0.05,0.95,400.742,0.082326252,0.000489880
methyl laurate,octane,0.06,0.94,401.134,0.078663295,0.000679769
methyl laurate,octane,0.07,0.93,401.529,0.075153854,0.000909586
methyl laurate,octane,0.08,0.92,401.929,0.071780981,0.001169316
methyl laurate,octane,0.09,0.91,402.334,0.068536767,0.001448950
methyl laurate,octane,0.1,0.9,402.743,0.065422505,0.001748471
methyl laurate,octane,0.11,0.89,403.157,0.062439445,0.002067861
methyl laurate,octane,0.12,0.88,403.576,0.059569948,0.002417077
methyl laurate,octane,0.13,0.87,404,0.056815022,0.002776143
methyl laurate,octane,0.14,0.86,404.43,0.054166164,0.003155018
methyl laurate,octane,0.15,0.85,404.866,0.051633736,0.003543714
methyl laurate,octane,0.16,0.84,405.307,0.049199604,0.003952180
methyl laurate,octane,0.17,0.83,405.755,0.046854960,0.004370436
methyl laurate,octane,0.18,0.82,406.209,0.044610011,0.004798469
methyl laurate,octane,0.19,0.81,406.67,0.042465443,0.005236267
methyl laurate,octane,0.2,0.8,407.137,0.040393103,0.005683816
methyl laurate,octane,0.21,0.79,407.612,0.038412694,0.006141105
methyl laurate,octane,0.22,0.78,408.094,0.036515133,0.006608118
methyl laurate,octane,0.23,0.77,408.583,0.034700899,0.007074914
methyl laurate,octane,0.24,0.76,409.081,0.032951100,0.007541491
methyl laurate,octane,0.25,0.75,409.586,0.031285466,0.008017772
methyl laurate,octane,0.26,0.74,410.1,0.029685008,0.008493825
methyl laurate,octane,0.27,0.73,410.622,0.028150043,0.008979563
methyl laurate,octane,0.28,0.72,411.154,0.026680879,0.009455159
methyl laurate,octane,0.29,0.71,411.694,0.025268057,0.009940430
methyl laurate,octane,0.3,0.7,412.245,0.023921584,0.010415569
methyl laurate,octane,0.31,0.69,412.805,0.022641730,0.010890483
methyl laurate,octane,0.32,0.68,413.375,0.021409179,0.011365171
methyl laurate,octane,0.33,0.67,413.956,0.020224107,0.011839634
methyl laurate,octane,0.34,0.66,414.548,0.019106306,0.012313872
methyl laurate,octane,0.35,0.65,415.152,0.018026541,0.012778012
methyl laurate,octane,0.36,0.64,415.767,0.016994767,0.013232069
methyl laurate,octane,0.37,0.63,416.395,0.016020976,0.013685919
methyl laurate,octane,0.38,0.62,417.035,0.015075787,0.014129704
methyl laurate,octane,0.39,0.61,417.688,0.014188860,0.014573292
methyl laurate,octane,0.4,0.6,418.355,0.013330749,0.015006832
methyl laurate,octane,0.41,0.59,419.036,0.012521281,0.015430338
methyl laurate,octane,0.42,0.58,419.731,0.011750689,0.015843821
methyl laurate,octane,0.43,0.57,420.442,0.011009176,0.016247295
methyl laurate,octane,0.44,0.56,421.169,0.010306703,0.016640771
methyl laurate,octane,0.45,0.55,421.912,0.009643353,0.017034093
methyl laurate,octane,0.46,0.54,422.672,0.009009294,0.017407605
